component_id,sum_of_max_gross_load_mw,max_of_sum_gross_load_mw,max_ramp,min_ramp,idxmax_ramp,idxmin_ramp,max_abs_ramp,idxmax_abs_ramp,EIA_UNIT_TYPE,capacity_CAMD,capacity_EIA,simple_CAMD_FUEL_TYPE_via_capacity,simple_EIA_FUEL_TYPE_via_capacity,simple_EIA_UNIT_TYPE,ramp_factor_CAMD,ramp_factor_EIA,ramp_factor_sum_max,ramp_factor_max_sum
1569,93.0,93.0,73.0,-67.0,2015-07-28 14:00:00+00:00,2015-07-29 02:00:00+00:00,73.0,2015-07-28 14:00:00+00:00,"('GT',)",114.0,114.0,gas,gas,gas_turbine,0.6403508771929824,0.6403508771929824,0.7849462365591398,0.7849462365591398
1570,77.0,77.0,67.0,-60.0,2017-09-21 18:00:00+00:00,2016-08-30 01:00:00+00:00,67.0,2017-09-21 18:00:00+00:00,"('GT',)",114.0,114.0,gas,gas,gas_turbine,0.5877192982456141,0.5877192982456141,0.8701298701298701,0.8701298701298701
1571,89.0,89.0,63.0,-68.0,2016-09-06 20:00:00+00:00,2018-04-05 14:00:00+00:00,68.0,2018-04-05 14:00:00+00:00,"('GT',)",114.0,114.0,gas,gas,gas_turbine,0.5964912280701754,0.5964912280701754,0.7640449438202247,0.7640449438202247
1572,0.0,0.0,0.0,0.0,2015-01-01 07:00:00+00:00,2015-01-01 07:00:00+00:00,0.0,2015-01-01 07:00:00+00:00,"('ST',)",,335.0,,coal,steam_turbine,,0.0,,
1573,626.0,622.0,314.0,-243.0,2017-11-11 19:00:00+00:00,2019-02-18 22:00:00+00:00,314.0,2017-11-11 19:00:00+00:00,"('CA', 'CT')",417.6,602.8,gas,gas,combined_cycle,0.7519157088122604,0.5209024552090246,0.5015974440894568,0.5048231511254019
1574,24.0,24.0,8.0,-8.0,2016-05-03 06:00:00+00:00,2016-05-03 04:00:00+00:00,8.0,2016-05-03 06:00:00+00:00,"('GT', 'ST')",21.9,28.5,gas,gas,combined_cycle,0.36529680365296807,0.2807017543859649,0.3333333333333333,0.3333333333333333
1575,48.0,48.0,44.0,-42.0,2015-07-23 22:00:00+00:00,2015-07-02 03:00:00+00:00,44.0,2015-07-23 22:00:00+00:00,"('GT',)",60.5,60.5,gas,gas,gas_turbine,0.7272727272727273,0.7272727272727273,0.9166666666666666,0.9166666666666666
1576,48.0,48.0,42.0,-44.0,2015-07-23 22:00:00+00:00,2018-06-07 23:00:00+00:00,44.0,2018-06-07 23:00:00+00:00,"('GT',)",60.5,60.5,gas,gas,gas_turbine,0.7272727272727273,0.7272727272727273,0.9166666666666666,0.9166666666666666
1577,33.0,33.0,28.0,-25.0,2019-06-04 12:00:00+00:00,2018-05-21 19:00:00+00:00,28.0,2019-06-04 12:00:00+00:00,"('GT',)",30.0,30.0,gas,gas,gas_turbine,0.9333333333333333,0.9333333333333333,0.8484848484848485,0.8484848484848485
1578,33.0,33.0,24.0,-25.0,2017-09-21 19:00:00+00:00,2017-08-24 17:00:00+00:00,25.0,2017-08-24 17:00:00+00:00,"('GT',)",30.0,30.0,gas,gas,gas_turbine,0.8333333333333334,0.8333333333333334,0.7575757575757576,0.7575757575757576
1579,28.0,28.0,28.0,-24.0,2017-05-17 17:00:00+00:00,2015-08-20 21:00:00+00:00,28.0,2017-05-17 17:00:00+00:00,"('GT',)",25.0,25.0,gas,gas,gas_turbine,1.12,1.12,1.0,1.0
1580,88.0,88.0,68.0,-73.0,2019-11-04 14:00:00+00:00,2019-10-06 00:00:00+00:00,73.0,2019-10-06 00:00:00+00:00,"('GT',)",96.0,81.6,gas,gas,gas_turbine,0.7604166666666666,0.8946078431372549,0.8295454545454546,0.8295454545454546
1581,191.0,171.0,51.0,-52.0,2015-12-04 05:00:00+00:00,2015-01-10 01:00:00+00:00,52.0,2015-01-10 01:00:00+00:00,"('CA', 'CT')",,212.5,,gas,combined_cycle,,0.2447058823529412,0.27225130890052357,0.30409356725146197
1582,172.0,172.0,130.0,-140.0,2016-10-06 15:00:00+00:00,2016-10-06 22:00:00+00:00,140.0,2016-10-06 22:00:00+00:00,"('GT',)",200.0,200.0,gas,gas,gas_turbine,0.7,0.7,0.813953488372093,0.813953488372093
1583,207.0,207.0,145.0,-130.0,2017-06-16 16:00:00+00:00,2017-07-20 22:00:00+00:00,145.0,2017-06-16 16:00:00+00:00,"('GT',)",200.0,200.0,gas,gas,gas_turbine,0.725,0.725,0.7004830917874396,0.7004830917874396
1584,110.0,110.0,95.0,-92.0,2018-09-17 20:00:00+00:00,2018-09-17 23:00:00+00:00,95.0,2018-09-17 20:00:00+00:00,"('GT',)",125.0,125.0,gas,gas,gas_turbine,0.76,0.76,0.8636363636363636,0.8636363636363636
1585,30.0,30.0,27.0,-27.0,2016-07-28 15:00:00+00:00,2016-07-30 02:00:00+00:00,27.0,2016-07-28 15:00:00+00:00,"('GT',)",57.4,57.4,oil,oil,gas_turbine,0.47038327526132406,0.47038327526132406,0.9,0.9
1586,873.0,873.0,312.0,-381.0,2017-12-06 16:00:00+00:00,2018-03-31 03:00:00+00:00,381.0,2018-03-31 03:00:00+00:00,"('ST',)",923.0,922.5,coal,coal,steam_turbine,0.41278439869989164,0.41300813008130083,0.436426116838488,0.436426116838488
1587,722.0,713.0,286.0,-559.0,2016-04-26 15:00:00+00:00,2016-05-25 20:00:00+00:00,559.0,2016-05-25 20:00:00+00:00,"('CA', 'CT')",563.8,688.3,gas,gas,combined_cycle,0.9914863426747075,0.8121458666279239,0.7742382271468145,0.7840112201963534
1588,708.0,704.0,390.0,-461.0,2019-05-07 14:00:00+00:00,2019-05-07 12:00:00+00:00,461.0,2019-05-07 12:00:00+00:00,"('CA', 'CT')",563.8,688.3,gas,gas,combined_cycle,0.8176658389499823,0.6697660903675723,0.6511299435028248,0.6548295454545454
1589,49.0,49.0,44.0,-41.0,2015-07-23 22:00:00+00:00,2015-07-20 21:00:00+00:00,44.0,2015-07-23 22:00:00+00:00,"('GT',)",60.5,60.5,gas,gas,gas_turbine,0.7272727272727273,0.7272727272727273,0.8979591836734694,0.8979591836734694
1590,66.0,66.0,59.0,-54.0,2018-08-22 13:00:00+00:00,2018-08-15 20:00:00+00:00,59.0,2018-08-22 13:00:00+00:00,"('GT',)",,63.0,,gas,gas_turbine,,0.9365079365079365,0.8939393939393939,0.8939393939393939
1591,68.0,67.0,54.0,-65.0,2017-06-16 18:00:00+00:00,2019-03-01 17:00:00+00:00,65.0,2019-03-01 17:00:00+00:00,"('GT',)",,63.0,,gas,gas_turbine,,1.0317460317460319,0.9558823529411765,0.9701492537313433
1592,70.0,70.0,61.0,-64.0,2017-03-01 14:00:00+00:00,2017-02-28 18:00:00+00:00,64.0,2017-02-28 18:00:00+00:00,"('GT',)",,63.0,,gas,gas_turbine,,1.0158730158730158,0.9142857142857143,0.9142857142857143
1593,239.0,239.0,101.0,-100.0,2017-04-12 14:00:00+00:00,2018-11-04 23:00:00+00:00,101.0,2017-04-12 14:00:00+00:00,"('ST',)",230.1,230.1,coal,coal,steam_turbine,0.4389395914819644,0.4389395914819644,0.4225941422594142,0.4225941422594142
1594,32.0,32.0,0.0,-7.0,2015-01-01 07:00:00+00:00,2019-08-20 01:00:00+00:00,7.0,2019-08-20 01:00:00+00:00,"('CT',)",,27.0,,gas,combined_cycle,,0.25925925925925924,0.21875,0.21875
1595,54.0,54.0,45.0,-44.0,2018-01-17 23:00:00+00:00,2018-01-02 14:00:00+00:00,45.0,2018-01-17 23:00:00+00:00,"('GT',)",,53.1,,oil,gas_turbine,,0.847457627118644,0.8333333333333334,0.8333333333333334
1596,75.0,75.0,62.0,-66.0,2018-01-02 12:00:00+00:00,2018-01-18 14:00:00+00:00,66.0,2018-01-18 14:00:00+00:00,"('GT',)",,53.1,,oil,gas_turbine,,1.2429378531073445,0.88,0.88
1597,66.0,66.0,53.0,-54.0,2015-01-08 11:00:00+00:00,2015-02-18 15:00:00+00:00,54.0,2015-02-18 15:00:00+00:00,"('GT',)",,53.1,,oil,gas_turbine,,1.0169491525423728,0.8181818181818182,0.8181818181818182
1598,57.0,57.0,45.0,-45.0,2015-11-25 13:00:00+00:00,2015-11-25 14:00:00+00:00,45.0,2015-11-25 13:00:00+00:00,"('GT',)",,53.1,,oil,gas_turbine,,0.847457627118644,0.7894736842105263,0.7894736842105263
1599,62.0,62.0,58.0,-53.0,2018-01-02 12:00:00+00:00,2015-01-08 15:00:00+00:00,58.0,2018-01-02 12:00:00+00:00,"('GT',)",,53.1,,oil,gas_turbine,,1.0922787193973635,0.9354838709677419,0.9354838709677419
1600,70.0,70.0,56.0,-60.0,2016-01-19 13:00:00+00:00,2015-01-08 15:00:00+00:00,60.0,2015-01-08 15:00:00+00:00,"('GT',)",,53.1,,oil,gas_turbine,,1.1299435028248588,0.8571428571428571,0.8571428571428571
1601,44.0,44.0,29.0,-40.0,2015-01-08 11:00:00+00:00,2015-01-08 14:00:00+00:00,40.0,2015-01-08 14:00:00+00:00,"('GT',)",,41.8,,oil,gas_turbine,,0.9569377990430623,0.9090909090909091,0.9090909090909091
1602,37.0,37.0,21.0,-37.0,2015-01-08 12:00:00+00:00,2015-01-08 13:00:00+00:00,37.0,2015-01-08 13:00:00+00:00,"('GT',)",,41.8,,oil,gas_turbine,,0.8851674641148326,1.0,1.0
1603,25.0,25.0,20.0,-20.0,2015-07-21 16:00:00+00:00,2015-07-21 18:00:00+00:00,20.0,2015-07-21 16:00:00+00:00,"('GT',)",23.8,23.8,gas,gas,gas_turbine,0.8403361344537815,0.8403361344537815,0.8,0.8
1604,24.0,24.0,22.0,-18.0,2015-07-29 16:00:00+00:00,2015-07-29 17:00:00+00:00,22.0,2015-07-29 16:00:00+00:00,"('GT',)",,27.0,,oil,gas_turbine,,0.8148148148148148,0.9166666666666666,0.9166666666666666
1605,26.0,26.0,20.0,-19.0,2015-07-22 16:00:00+00:00,2015-07-22 18:00:00+00:00,20.0,2015-07-22 16:00:00+00:00,"('GT',)",,27.0,,oil,gas_turbine,,0.7407407407407407,0.7692307692307693,0.7692307692307693
1606,32.0,32.0,1.0,-1.0,2019-11-19 03:00:00+00:00,2019-11-19 00:00:00+00:00,1.0,2019-11-19 03:00:00+00:00,"('CT',)",,35.3,,gas,combined_cycle,,0.028328611898017,0.03125,0.03125
1607,46.0,46.0,46.0,-42.0,2016-01-18 23:00:00+00:00,2015-03-06 02:00:00+00:00,46.0,2016-01-18 23:00:00+00:00,"('GT',)",,41.4,,gas,gas_turbine,,1.1111111111111112,1.0,1.0
1608,43.0,43.0,37.0,-41.0,2018-04-04 15:00:00+00:00,2017-12-27 15:00:00+00:00,41.0,2017-12-27 15:00:00+00:00,"('GT',)",,41.4,,gas,gas_turbine,,0.9903381642512078,0.9534883720930233,0.9534883720930233
1609,79.0,79.0,75.0,-69.0,2015-08-26 15:00:00+00:00,2015-07-14 23:00:00+00:00,75.0,2015-08-26 15:00:00+00:00,"('GT',)",,78.8,,gas,gas_turbine,,0.9517766497461929,0.9493670886075949,0.9493670886075949
1610,77.0,77.0,73.0,-49.0,2019-08-29 15:00:00+00:00,2019-10-14 18:00:00+00:00,73.0,2019-08-29 15:00:00+00:00,"('GT',)",,78.8,,gas,gas_turbine,,0.9263959390862945,0.948051948051948,0.948051948051948
1611,62.0,62.0,56.0,-47.0,2016-12-09 23:00:00+00:00,2017-12-27 14:00:00+00:00,56.0,2016-12-09 23:00:00+00:00,"('GT',)",,71.2,,gas,gas_turbine,,0.7865168539325842,0.9032258064516129,0.9032258064516129
1612,73.0,73.0,62.0,-60.0,2019-11-13 12:00:00+00:00,2016-12-09 16:00:00+00:00,62.0,2019-11-13 12:00:00+00:00,"('GT',)",,89.0,,gas,gas_turbine,,0.6966292134831461,0.8493150684931506,0.8493150684931506
1613,81.0,81.0,70.0,-64.0,2017-02-09 00:00:00+00:00,2016-12-15 19:00:00+00:00,70.0,2017-02-09 00:00:00+00:00,"('GT',)",,103.9,,gas,gas_turbine,,0.6737247353224254,0.8641975308641975,0.8641975308641975
1614,204.0,204.0,155.0,-158.0,2016-02-04 14:00:00+00:00,2016-06-08 23:00:00+00:00,158.0,2016-06-08 23:00:00+00:00,"('GT',)",179.0,179.1,gas,gas,gas_turbine,0.88268156424581,0.8821887213847013,0.7745098039215687,0.7745098039215687
1615,891.0,891.0,310.0,-301.0,2018-01-28 11:00:00+00:00,2015-01-13 04:00:00+00:00,310.0,2018-01-28 11:00:00+00:00,"('ST',)",877.2,883.0,coal,coal,steam_turbine,0.3533971728226174,0.3510758776896942,0.3479236812570146,0.3479236812570146
1616,886.0,886.0,261.0,-342.0,2015-11-08 21:00:00+00:00,2016-01-20 02:00:00+00:00,342.0,2016-01-20 02:00:00+00:00,"('ST',)",877.2,883.0,coal,coal,steam_turbine,0.3898768809849521,0.3873159682899207,0.3860045146726862,0.3860045146726862
1617,40.0,40.0,38.0,-38.0,2015-11-24 13:00:00+00:00,2018-01-05 11:00:00+00:00,38.0,2015-11-24 13:00:00+00:00,"('GT',)",,40.0,,oil,gas_turbine,,0.95,0.95,0.95
1618,40.0,40.0,34.0,-38.0,2018-01-02 09:00:00+00:00,2018-01-05 11:00:00+00:00,38.0,2018-01-05 11:00:00+00:00,"('GT',)",,40.0,,oil,gas_turbine,,0.95,0.95,0.95
1619,61.0,61.0,53.0,-50.0,2019-02-20 19:00:00+00:00,2019-02-20 20:00:00+00:00,53.0,2019-02-20 19:00:00+00:00,"('GT',)",,52.8,,oil,gas_turbine,,1.003787878787879,0.8688524590163934,0.8688524590163934
1620,61.0,61.0,59.0,-58.0,2015-01-08 13:00:00+00:00,2018-01-18 14:00:00+00:00,59.0,2015-01-08 13:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,1.0649819494584838,0.9672131147540983,0.9672131147540983
1621,60.0,60.0,51.0,-47.0,2018-01-02 12:00:00+00:00,2018-01-18 16:00:00+00:00,51.0,2018-01-02 12:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,0.9205776173285198,0.85,0.85
1622,59.0,59.0,59.0,-47.0,2015-01-08 13:00:00+00:00,2015-05-15 16:00:00+00:00,59.0,2015-01-08 13:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,1.0649819494584838,1.0,1.0
1623,58.0,58.0,46.0,-48.0,2016-12-07 22:00:00+00:00,2018-02-13 17:00:00+00:00,48.0,2018-02-13 17:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,0.8664259927797834,0.8275862068965517,0.8275862068965517
1624,56.0,56.0,49.0,-50.0,2015-05-13 13:00:00+00:00,2018-01-18 16:00:00+00:00,50.0,2018-01-18 16:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,0.9025270758122744,0.8928571428571429,0.8928571428571429
1625,61.0,61.0,59.0,-60.0,2015-01-08 13:00:00+00:00,2018-01-02 16:00:00+00:00,60.0,2018-01-02 16:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,1.0830324909747293,0.9836065573770492,0.9836065573770492
1626,60.0,60.0,60.0,-49.0,2015-01-08 13:00:00+00:00,2015-05-14 16:00:00+00:00,60.0,2015-01-08 13:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,1.0830324909747293,1.0,1.0
1627,60.0,60.0,60.0,-50.0,2015-01-08 13:00:00+00:00,2016-12-05 17:00:00+00:00,60.0,2015-01-08 13:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,1.0830324909747293,1.0,1.0
1628,61.0,61.0,61.0,-48.0,2015-01-08 13:00:00+00:00,2018-01-18 14:00:00+00:00,61.0,2015-01-08 13:00:00+00:00,"('GT',)",,55.4,,oil,gas_turbine,,1.1010830324909748,1.0,1.0
1629,49.0,39.0,38.0,-30.0,2019-04-23 18:00:00+00:00,2019-04-23 21:00:00+00:00,38.0,2019-04-23 18:00:00+00:00,"('GT',)",,41.8,,gas,gas_turbine,,0.9090909090909092,0.7755102040816326,0.9743589743589743
1630,44.0,40.0,40.0,-38.0,2018-01-02 17:00:00+00:00,2017-10-13 20:00:00+00:00,40.0,2018-01-02 17:00:00+00:00,"('GT',)",,41.8,,gas,gas_turbine,,0.9569377990430623,0.9090909090909091,1.0
1631,331.0,331.0,131.0,-290.0,2019-10-01 14:00:00+00:00,2017-11-06 20:00:00+00:00,290.0,2017-11-06 20:00:00+00:00,"('CA', 'CT')",187.0,318.5,gas,gas,combined_cycle,1.5508021390374331,0.9105180533751962,0.8761329305135952,0.8761329305135952
1632,989.0,954.0,303.0,-306.0,2017-12-31 23:00:00+00:00,2017-12-29 04:00:00+00:00,306.0,2017-12-29 04:00:00+00:00,"('CA', 'CT')",750.0,840.0,gas,gas,combined_cycle,0.408,0.36428571428571427,0.30940343781597573,0.32075471698113206
1633,1077.0,904.0,345.0,-352.0,2018-08-31 05:00:00+00:00,2018-08-30 23:00:00+00:00,352.0,2018-08-30 23:00:00+00:00,"('CA', 'CT')",750.0,840.0,gas,gas,combined_cycle,0.4693333333333333,0.41904761904761906,0.3268337975858867,0.3893805309734513
1634,1015.0,947.0,288.0,-261.0,2017-01-08 16:00:00+00:00,2017-12-16 07:00:00+00:00,288.0,2017-01-08 16:00:00+00:00,"('CA', 'CT')",750.0,840.0,gas,gas,combined_cycle,0.384,0.34285714285714286,0.28374384236453204,0.3041182682154171
1635,740.0,710.0,308.0,-287.0,2017-03-12 00:00:00+00:00,2017-08-24 04:00:00+00:00,308.0,2017-03-12 00:00:00+00:00,"('CA', 'CT')",459.85,705.9,gas,gas,combined_cycle,0.6697836250951397,0.43632242527270154,0.41621621621621624,0.43380281690140843
1636,49.0,49.0,48.0,-47.0,2017-03-10 20:00:00+00:00,2017-06-15 01:00:00+00:00,48.0,2017-03-10 20:00:00+00:00,"('GT',)",48.0,48.0,gas,gas,gas_turbine,1.0,1.0,0.9795918367346939,0.9795918367346939
1637,0.0,0.0,0.0,0.0,2017-04-01 06:00:00+00:00,2017-04-01 06:00:00+00:00,0.0,2017-04-01 06:00:00+00:00,"('ST',)",50.0,54.5,other,other,steam_turbine,0.0,0.0,,
2871,720.0,720.0,391.0,-181.0,2017-07-03 13:00:00+00:00,2015-12-29 16:00:00+00:00,391.0,2017-07-03 13:00:00+00:00,"('ST',)",720.8,720.7,coal,coal,steam_turbine,0.5424528301886793,0.5425280976828083,0.5430555555555555,0.5430555555555555
2872,149.0,149.0,110.0,-122.0,2018-01-17 12:00:00+00:00,2018-01-07 06:00:00+00:00,122.0,2018-01-07 06:00:00+00:00,"('GT',)",150.0,149.0,gas,gas,gas_turbine,0.8133333333333334,0.8187919463087249,0.8187919463087249,0.8187919463087249
2873,148.0,148.0,121.0,-126.0,2018-01-17 12:00:00+00:00,2015-01-08 18:00:00+00:00,126.0,2015-01-08 18:00:00+00:00,"('GT',)",150.0,149.0,gas,gas,gas_turbine,0.84,0.8456375838926175,0.8513513513513513,0.8513513513513513
2874,150.0,150.0,114.0,-121.0,2018-01-17 12:00:00+00:00,2018-01-07 06:00:00+00:00,121.0,2018-01-07 06:00:00+00:00,"('GT',)",150.0,149.0,gas,gas,gas_turbine,0.8066666666666666,0.8120805369127517,0.8066666666666666,0.8066666666666666
2875,386.0,386.0,160.0,-254.0,2017-03-04 13:00:00+00:00,2017-10-28 13:00:00+00:00,254.0,2017-10-28 13:00:00+00:00,"('ST',)",387.0,348.7,coal,coal,steam_turbine,0.6563307493540051,0.7284198451390881,0.6580310880829016,0.6580310880829016
2876,230.0,230.0,91.0,-212.0,2017-02-13 23:00:00+00:00,2015-01-06 20:00:00+00:00,212.0,2015-01-06 20:00:00+00:00,"('ST',)",217.3,217.3,coal,coal,steam_turbine,0.975609756097561,0.975609756097561,0.9217391304347826,0.9217391304347826
2877,229.0,229.0,96.0,-135.0,2017-06-19 11:00:00+00:00,2017-06-27 18:00:00+00:00,135.0,2017-06-27 18:00:00+00:00,"('ST',)",217.3,217.3,coal,coal,steam_turbine,0.621260929590428,0.621260929590428,0.5895196506550219,0.5895196506550219
2878,226.0,226.0,96.0,-178.0,2018-01-12 21:00:00+00:00,2015-11-22 01:00:00+00:00,178.0,2015-11-22 01:00:00+00:00,"('ST',)",217.3,217.3,coal,coal,steam_turbine,0.8191440404970087,0.8191440404970087,0.7876106194690266,0.7876106194690266
2879,229.0,229.0,126.0,-218.0,2017-10-16 19:00:00+00:00,2018-12-08 23:00:00+00:00,218.0,2018-12-08 23:00:00+00:00,"('ST',)",217.3,217.3,coal,coal,steam_turbine,1.0032213529682465,1.0032213529682465,0.9519650655021834,0.9519650655021834
2880,237.0,237.0,94.0,-189.0,2017-02-09 12:00:00+00:00,2015-02-20 06:00:00+00:00,189.0,2015-02-20 06:00:00+00:00,"('ST',)",217.3,217.3,coal,coal,steam_turbine,0.8697653014265991,0.8697653014265991,0.7974683544303798,0.7974683544303798
2881,226.0,226.0,115.0,-140.0,2018-01-14 01:00:00+00:00,2018-01-02 23:00:00+00:00,140.0,2018-01-02 23:00:00+00:00,"('ST',)",217.3,217.3,coal,coal,steam_turbine,0.6442705936493327,0.6442705936493327,0.6194690265486725,0.6194690265486725
2882,145.0,145.0,43.0,-5.0,2015-02-03 12:00:00+00:00,2015-02-03 22:00:00+00:00,43.0,2015-02-03 12:00:00+00:00,"('ST',)",152.5,152.5,coal,coal,steam_turbine,0.2819672131147541,0.2819672131147541,0.296551724137931,0.296551724137931
2883,160.0,160.0,54.0,-54.0,2015-01-07 19:00:00+00:00,2015-02-18 06:00:00+00:00,54.0,2015-01-07 19:00:00+00:00,"('ST',)",152.5,152.5,coal,coal,steam_turbine,0.3540983606557377,0.3540983606557377,0.3375,0.3375
2884,219.0,219.0,77.0,-77.0,2015-01-07 18:00:00+00:00,2015-05-15 23:00:00+00:00,77.0,2015-01-07 18:00:00+00:00,"('ST',)",215.4,215.4,coal,coal,steam_turbine,0.35747446610956357,0.35747446610956357,0.3515981735159817,0.3515981735159817
2885,534.0,534.0,215.0,-152.0,2015-05-04 10:00:00+00:00,2015-01-08 06:00:00+00:00,215.0,2015-05-04 10:00:00+00:00,"('ST',)",579.7,579.7,coal,coal,steam_turbine,0.3708814904260824,0.3708814904260824,0.40262172284644193,0.40262172284644193
2886,114.0,114.0,39.0,-49.0,2016-06-15 21:00:00+00:00,2016-01-21 15:00:00+00:00,49.0,2016-01-21 15:00:00+00:00,"('ST',)",113.6,100.0,gas,gas,steam_turbine,0.4313380281690141,0.49,0.4298245614035088,0.4298245614035088
2887,110.0,110.0,46.0,-37.0,2018-08-29 17:00:00+00:00,2016-04-04 20:00:00+00:00,46.0,2018-08-29 17:00:00+00:00,"('ST',)",113.6,100.0,gas,gas,steam_turbine,0.40492957746478875,0.46,0.41818181818181815,0.41818181818181815
2888,451.0,451.0,172.0,-194.0,2019-06-25 17:00:00+00:00,2015-11-09 13:00:00+00:00,194.0,2015-11-09 13:00:00+00:00,"('ST',)",470.9,463.0,gas,gas,steam_turbine,0.41197706519430877,0.4190064794816415,0.43015521064301554,0.43015521064301554
2889,94.0,94.0,68.0,-75.0,2016-01-21 23:00:00+00:00,2015-02-05 15:00:00+00:00,75.0,2015-02-05 15:00:00+00:00,"('GT',)",80.0,83.0,gas,gas,gas_turbine,0.9375,0.9036144578313253,0.7978723404255319,0.7978723404255319
2890,98.0,98.0,68.0,-84.0,2018-11-27 23:00:00+00:00,2015-02-05 15:00:00+00:00,84.0,2015-02-05 15:00:00+00:00,"('GT',)",80.0,83.0,gas,gas,gas_turbine,1.05,1.0120481927710843,0.8571428571428571,0.8571428571428571
2891,193.0,193.0,172.0,-187.0,2016-02-05 12:00:00+00:00,2016-12-17 02:00:00+00:00,187.0,2016-12-17 02:00:00+00:00,"('GT',)",201.0,161.0,gas,gas,gas_turbine,0.9303482587064676,1.1614906832298137,0.9689119170984456,0.9689119170984456
2892,43.0,43.0,24.0,-10.0,2015-09-21 21:00:00+00:00,2015-09-21 19:00:00+00:00,24.0,2015-09-21 21:00:00+00:00,"('ST',)",50.0,50.0,coal,coal,steam_turbine,0.48,0.48,0.5581395348837209,0.5581395348837209
2893,61.0,61.0,29.0,-13.0,2015-06-22 13:00:00+00:00,2015-01-15 13:00:00+00:00,29.0,2015-06-22 13:00:00+00:00,"('ST',)",69.0,69.0,coal,coal,steam_turbine,0.42028985507246375,0.42028985507246375,0.47540983606557374,0.47540983606557374
2894,64.0,64.0,30.0,-29.0,2015-12-03 08:00:00+00:00,2015-12-03 07:00:00+00:00,30.0,2015-12-03 08:00:00+00:00,"('ST',)",69.0,69.0,coal,coal,steam_turbine,0.43478260869565216,0.43478260869565216,0.46875,0.46875
2895,104.0,104.0,38.0,-31.0,2015-05-26 15:00:00+00:00,2015-05-06 02:00:00+00:00,38.0,2015-05-26 15:00:00+00:00,"('ST',)",113.6,113.6,coal,coal,steam_turbine,0.3345070422535211,0.3345070422535211,0.36538461538461536,0.36538461538461536
2896,0.0,0.0,0.0,0.0,2015-01-01 06:00:00+00:00,2015-01-01 06:00:00+00:00,0.0,2015-01-01 06:00:00+00:00,"('ST',)",10.0,5.0,gas,gas,steam_turbine,0.0,0.0,,
2897,265.0,265.0,104.0,-222.0,2018-07-17 08:00:00+00:00,2017-05-06 13:00:00+00:00,222.0,2017-05-06 13:00:00+00:00,"('ST',)",253.4,281.6,coal,coal,steam_turbine,0.8760852407261247,0.7883522727272727,0.8377358490566038,0.8377358490566038
2898,462.0,462.0,150.0,-202.0,2018-12-26 18:00:00+00:00,2015-01-08 18:00:00+00:00,202.0,2015-01-08 18:00:00+00:00,"('ST',)",471.0,523.3,coal,coal,steam_turbine,0.4288747346072187,0.3860118478884006,0.43722943722943725,0.43722943722943725
2899,595.0,595.0,201.0,-556.0,2016-03-25 20:00:00+00:00,2016-05-09 20:00:00+00:00,556.0,2016-05-09 20:00:00+00:00,"('ST',)",574.4,670.9,coal,coal,steam_turbine,0.967966573816156,0.8287375167685199,0.934453781512605,0.934453781512605
2900,585.0,585.0,191.0,-327.0,2019-08-06 11:00:00+00:00,2017-12-19 04:00:00+00:00,327.0,2017-12-19 04:00:00+00:00,"('ST',)",574.2,670.9,coal,coal,steam_turbine,0.5694879832810866,0.48740497838724106,0.558974358974359,0.558974358974359
2901,183.0,183.0,82.0,-171.0,2015-07-31 10:00:00+00:00,2015-03-09 16:00:00+00:00,171.0,2015-03-09 16:00:00+00:00,"('ST',)",194.0,190.4,coal,coal,steam_turbine,0.8814432989690721,0.8981092436974789,0.9344262295081968,0.9344262295081968
2902,358.0,358.0,120.0,-178.0,2016-08-09 08:00:00+00:00,2016-02-17 05:00:00+00:00,178.0,2016-02-17 05:00:00+00:00,"('ST',)",421.6,413.1,coal,coal,steam_turbine,0.4222011385199241,0.4308884047446139,0.4972067039106145,0.4972067039106145
2903,490.0,490.0,133.0,-97.0,2017-10-27 00:00:00+00:00,2016-06-14 03:00:00+00:00,133.0,2017-10-27 00:00:00+00:00,"('ST',)",540.0,540.0,coal,coal,steam_turbine,0.2462962962962963,0.2462962962962963,0.2714285714285714,0.2714285714285714
2904,552.0,552.0,174.0,-232.0,2015-08-11 10:00:00+00:00,2018-04-24 13:00:00+00:00,232.0,2018-04-24 13:00:00+00:00,"('ST',)",531.0,531.0,coal,coal,steam_turbine,0.4369114877589454,0.4369114877589454,0.42028985507246375,0.42028985507246375
2905,564.0,564.0,151.0,-193.0,2018-04-26 10:00:00+00:00,2015-07-11 19:00:00+00:00,193.0,2015-07-11 19:00:00+00:00,"('ST',)",531.0,531.0,coal,coal,steam_turbine,0.3634651600753296,0.3634651600753296,0.3421985815602837,0.3421985815602837
2906,120.0,120.0,87.0,-113.0,2019-01-25 20:00:00+00:00,2019-01-26 00:00:00+00:00,113.0,2019-01-26 00:00:00+00:00,"('GT',)",121.0,112.5,gas,gas,gas_turbine,0.9338842975206612,1.0044444444444445,0.9416666666666667,0.9416666666666667
