component_id,sum_of_max_gross_load_mw,max_of_sum_gross_load_mw,max_ramp,min_ramp,idxmax_ramp,idxmin_ramp,max_abs_ramp,idxmax_abs_ramp,EIA_UNIT_TYPE,capacity_CAMD,capacity_EIA,simple_CAMD_FUEL_TYPE_via_capacity,simple_EIA_FUEL_TYPE_via_capacity,simple_EIA_UNIT_TYPE,ramp_factor_CAMD,ramp_factor_EIA,ramp_factor_sum_max,ramp_factor_max_sum
180,581.0,581.0,189.0,-255.0,2018-10-01 18:00:00+00:00,2019-12-21 17:00:00+00:00,255.0,2019-12-21 17:00:00+00:00,"('CA', 'CT')",431.0,607.0,gas,gas,combined_cycle,0.5916473317865429,0.4200988467874794,0.4388984509466437,0.4388984509466437
181,592.0,592.0,304.0,-404.0,2018-11-02 07:00:00+00:00,2018-11-02 05:00:00+00:00,404.0,2018-11-02 05:00:00+00:00,"('CA', 'CT')",431.0,607.0,gas,gas,combined_cycle,0.9373549883990719,0.6655683690280065,0.6824324324324325,0.6824324324324325
182,608.0,594.0,354.0,-426.0,2018-11-02 07:00:00+00:00,2018-01-02 12:00:00+00:00,426.0,2018-01-02 12:00:00+00:00,"('CA', 'CT')",431.0,607.0,gas,gas,combined_cycle,0.988399071925754,0.7018121911037891,0.7006578947368421,0.7171717171717171
183,616.0,601.0,175.0,-198.0,2017-01-26 12:00:00+00:00,2019-10-24 14:00:00+00:00,198.0,2019-10-24 14:00:00+00:00,"('CA', 'CT')",435.0,635.0,gas,gas,combined_cycle,0.45517241379310347,0.31181102362204727,0.32142857142857145,0.32945091514143093
184,175.0,175.0,147.0,-148.0,2019-07-22 15:00:00+00:00,2019-09-04 02:00:00+00:00,148.0,2019-09-04 02:00:00+00:00,"('GT',)",187.0,187.0,gas,gas,gas_turbine,0.7914438502673797,0.7914438502673797,0.8457142857142858,0.8457142857142858
185,169.0,169.0,146.0,-152.0,2017-09-28 14:00:00+00:00,2017-09-06 01:00:00+00:00,152.0,2017-09-06 01:00:00+00:00,"('GT',)",187.0,187.0,gas,gas,gas_turbine,0.8128342245989305,0.8128342245989305,0.8994082840236687,0.8994082840236687
186,169.0,169.0,149.0,-162.0,2017-09-28 14:00:00+00:00,2017-09-05 19:00:00+00:00,162.0,2017-09-05 19:00:00+00:00,"('GT',)",187.0,187.0,gas,gas,gas_turbine,0.8663101604278075,0.8663101604278075,0.9585798816568047,0.9585798816568047
187,190.0,190.0,190.0,-190.0,2015-09-13 18:00:00+00:00,2015-09-13 20:00:00+00:00,190.0,2015-09-13 18:00:00+00:00,"('GT',)",187.0,187.0,gas,gas,gas_turbine,1.0160427807486632,1.0160427807486632,1.0,1.0
188,838.0,832.0,287.0,-379.0,2016-04-19 01:00:00+00:00,2018-09-08 01:00:00+00:00,379.0,2018-09-08 01:00:00+00:00,"('CA', 'CT')",564.4,822.8,gas,gas,combined_cycle,0.6715095676824947,0.4606222654350997,0.4522673031026253,0.45552884615384615
189,651.0,640.0,211.0,-314.0,2019-10-31 00:00:00+00:00,2018-01-01 15:00:00+00:00,314.0,2018-01-01 15:00:00+00:00,"('CA', 'CT')",515.9,714.8,gas,gas,combined_cycle,0.6086450862570266,0.4392837157246783,0.4823348694316436,0.490625
190,981.0,957.0,355.0,-368.0,2015-09-29 13:00:00+00:00,2015-07-29 06:00:00+00:00,368.0,2015-07-29 06:00:00+00:00,"('CA', 'CT')",963.5000000000001,927.1,gas,gas,combined_cycle,0.38194084068500256,0.3969366842843275,0.3751274209989806,0.3845350052246604
191,577.0,569.0,254.0,-270.0,2017-09-16 20:00:00+00:00,2018-03-22 19:00:00+00:00,270.0,2018-03-22 19:00:00+00:00,"('CA', 'CT')",386.0,573.1,gas,gas,combined_cycle,0.6994818652849741,0.47112196824288954,0.4679376083188908,0.47451669595782076
192,574.0,567.0,241.0,-263.0,2017-10-10 03:00:00+00:00,2018-04-18 15:00:00+00:00,263.0,2018-04-18 15:00:00+00:00,"('CA', 'CT')",386.0,567.2,gas,gas,combined_cycle,0.6813471502590673,0.4636812411847672,0.45818815331010454,0.4638447971781305
193,660.0,652.0,286.0,-292.0,2018-06-14 13:00:00+00:00,2015-12-17 20:00:00+00:00,292.0,2015-12-17 20:00:00+00:00,"('CA', 'CT')",491.0,691.6,gas,gas,combined_cycle,0.594704684317719,0.4222093695777906,0.44242424242424244,0.44785276073619634
194,644.0,644.0,245.0,-269.0,2019-05-13 12:00:00+00:00,2017-01-26 21:00:00+00:00,269.0,2017-01-26 21:00:00+00:00,"('CA', 'CT')",491.0,691.6,gas,gas,combined_cycle,0.5478615071283096,0.38895315211104686,0.41770186335403725,0.41770186335403725
195,50.0,50.0,49.0,-48.0,2015-03-11 16:00:00+00:00,2019-11-04 04:00:00+00:00,49.0,2015-03-11 16:00:00+00:00,"('GT',)",60.5,60.5,gas,gas,gas_turbine,0.8099173553719008,0.8099173553719008,0.98,0.98
196,53.0,53.0,51.0,-49.0,2015-01-26 15:00:00+00:00,2016-04-20 11:00:00+00:00,51.0,2015-01-26 15:00:00+00:00,"('GT',)",60.5,60.5,gas,gas,gas_turbine,0.8429752066115702,0.8429752066115702,0.9622641509433962,0.9622641509433962
197,49.0,49.0,49.0,-47.0,2015-12-07 16:00:00+00:00,2018-04-15 14:00:00+00:00,49.0,2015-12-07 16:00:00+00:00,"('GT',)",60.5,60.5,gas,gas,gas_turbine,0.8099173553719008,0.8099173553719008,1.0,1.0
198,45.0,45.0,42.0,-45.0,2015-01-08 15:00:00+00:00,2016-01-15 20:00:00+00:00,45.0,2016-01-15 20:00:00+00:00,"('GT',)",48.7,48.7,gas,gas,gas_turbine,0.9240246406570841,0.9240246406570841,1.0,1.0
199,51.0,51.0,47.0,-48.0,2018-11-06 15:00:00+00:00,2018-04-04 01:00:00+00:00,48.0,2018-04-04 01:00:00+00:00,"('GT',)",58.9,58.9,gas,gas,gas_turbine,0.8149405772495756,0.8149405772495756,0.9411764705882353,0.9411764705882353
200,273.0,273.0,76.0,-79.0,2019-12-26 00:00:00+00:00,2018-10-16 15:00:00+00:00,79.0,2018-10-16 15:00:00+00:00,"('CA', 'CT')",177.0,506.0,gas,gas,combined_cycle,0.4463276836158192,0.15612648221343872,0.2893772893772894,0.2893772893772894
